Student ID,Student Name,Subject,Subject Code,Attempt,Marks,Grade
1,AADESH S,Mathematics,MATH101,1,66,B
1,AADESH S,Python,PY102,1,41,E
1,AADESH S,Machine Learning,ML103,1,81,A
1,AADESH S,English,GP104,1,90,S
1,AADESH S,Database,CS105,1,72,B
2,AATHISANKARAN N,Mathematics,MATH101,1,77,A
2,AATHISANKARAN N,Python,PY102,1,37,E
2,AATHISANKARAN N,Machine Learning,ML103,1,85,S
2,AATHISANKARAN N,English,GP104,1,41,E
2,AATHISANKARAN N,Database,CS105,1,32,F
2,AATHISANKARAN N,Database,CS105,2,44,E
3,ABINAYA R V E,Mathematics,MATH101,1,37,E
3,ABINAYA R V E,Python,PY102,1,75,A
3,ABINAYA R V E,Machine Learning,ML103,1,45,D
3,ABINAYA R V E,English,GP104,1,80,A
3,ABINAYA R V E,Database,CS105,1,37,E
4,ABINAYASHRI S,Mathematics,MATH101,1,52,D
4,ABINAYASHRI S,Python,PY102,1,45,D
4,ABINAYASHRI S,Machine Learning,ML103,1,66,B
4,ABINAYASHRI S,English,GP104,1,34,F
4,ABINAYASHRI S,English,GP104,2,45,D
4,ABINAYASHRI S,Database,CS105,1,73,B
5,ABIRAMI A,Mathematics,MATH101,1,35,E
5,ABIRAMI A,Python,PY102,1,37,E
5,ABIRAMI A,Machine Learning,ML103,1,43,E
5,ABIRAMI A,English,GP104,1,65,B
5,ABIRAMI A,Database,CS105,1,97,S
6,AJAY A,Mathematics,MATH101,1,82,A
6,AJAY A,Python,PY102,1,38,E
6,AJAY A,Machine Learning,ML103,1,60,C
6,AJAY A,English,GP104,1,44,E
6,AJAY A,Database,CS105,1,54,D
7,AMIRTHA V,Mathematics,MATH101,1,55,C
7,AMIRTHA V,Python,PY102,1,54,D
7,AMIRTHA V,Machine Learning,ML103,1,56,C
7,AMIRTHA V,English,GP104,1,65,B
7,AMIRTHA V,Database,CS105,1,65,B
8,AMUDAISHWARIYAN V,Mathematics,MATH101,1,76,A
8,AMUDAISHWARIYAN V,Python,PY102,1,77,A
8,AMUDAISHWARIYAN V,Machine Learning,ML103,1,82,A
8,AMUDAISHWARIYAN V,English,GP104,1,80,A
8,AMUDAISHWARIYAN V,Database,CS105,1,50,D
9,ANANDHI M,Mathematics,MATH101,1,38,E
9,ANANDHI M,Python,PY102,1,49,D
9,ANANDHI M,Machine Learning,ML103,1,39,E
9,ANANDHI M,English,GP104,1,38,E
9,ANANDHI M,Database,CS105,1,79,A
10,ANURAGA,Mathematics,MATH101,1,42,E
10,ANURAGA,Python,PY102,1,93,S
10,ANURAGA,Machine Learning,ML103,1,97,S
10,ANURAGA,English,GP104,1,43,E
10,ANURAGA,Database,CS105,1,54,D
11,APARNAA R,Mathematics,MATH101,1,78,A
11,APARNAA R,Python,PY102,1,82,A
11,APARNAA R,Machine Learning,ML103,1,49,D
11,APARNAA R,English,GP104,1,33,F
11,APARNAA R,English,GP104,2,41,E
11,APARNAA R,Database,CS105,1,81,A
12,ARAVIND KUMAR V,Mathematics,MATH101,1,32,F
12,ARAVIND KUMAR V,Mathematics,MATH101,2,39,E
12,ARAVIND KUMAR V,Python,PY102,1,81,A
12,ARAVIND KUMAR V,Machine Learning,ML103,1,37,E
12,ARAVIND KUMAR V,English,GP104,1,83,A
12,ARAVIND KUMAR V,Database,CS105,1,92,S
13,ARAVINTH S,Mathematics,MATH101,1,96,S
13,ARAVINTH S,Python,PY102,1,64,C
13,ARAVINTH S,Machine Learning,ML103,1,82,A
13,ARAVINTH S,English,GP104,1,34,F
13,ARAVINTH S,English,GP104,2,47,D
13,ARAVINTH S,Database,CS105,1,87,S
14,ARTHI R,Mathematics,MATH101,1,39,E
14,ARTHI R,Python,PY102,1,38,E
14,ARTHI R,Machine Learning,ML103,1,90,S
14,ARTHI R,English,GP104,1,43,E
14,ARTHI R,Database,CS105,1,35,E
15,ARUN KUMARAN A,Mathematics,MATH101,1,95,S
15,ARUN KUMARAN A,Python,PY102,1,73,B
15,ARUN KUMARAN A,Machine Learning,ML103,1,96,S
15,ARUN KUMARAN A,English,GP104,1,30,F
15,ARUN KUMARAN A,English,GP104,2,43,E
15,ARUN KUMARAN A,Database,CS105,1,48,D
16,ASWINI P,Mathematics,MATH101,1,74,B
16,ASWINI P,Python,PY102,1,35,E
16,ASWINI P,Machine Learning,ML103,1,99,S
16,ASWINI P,English,GP104,1,31,F
16,ASWINI P,English,GP104,2,46,D
16,ASWINI P,Database,CS105,1,62,C
17,BHUMIKA K,Mathematics,MATH101,1,82,A
17,BHUMIKA K,Python,PY102,1,66,B
17,BHUMIKA K,Machine Learning,ML103,1,87,S
17,BHUMIKA K,English,GP104,1,95,S
17,BHUMIKA K,Database,CS105,1,58,C
18,BHUVANESHWARAN  G,Mathematics,MATH101,1,76,A
18,BHUVANESHWARAN  G,Python,PY102,1,89,S
18,BHUVANESHWARAN  G,Machine Learning,ML103,1,55,C
18,BHUVANESHWARAN  G,English,GP104,1,45,D
18,BHUVANESHWARAN  G,Database,CS105,1,97,S
19,CHANDIYA C,Mathematics,MATH101,1,62,C
19,CHANDIYA C,Python,PY102,1,77,A
19,CHANDIYA C,Machine Learning,ML103,1,67,B
19,CHANDIYA C,English,GP104,1,82,A
19,CHANDIYA C,Database,CS105,1,36,E
20,DANALAKSHMIDEVI GANDHI I,Mathematics,MATH101,1,31,F
20,DANALAKSHMIDEVI GANDHI I,Mathematics,MATH101,2,42,E
20,DANALAKSHMIDEVI GANDHI I,Python,PY102,1,31,F
20,DANALAKSHMIDEVI GANDHI I,Python,PY102,2,44,E
20,DANALAKSHMIDEVI GANDHI I,Machine Learning,ML103,1,63,C
20,DANALAKSHMIDEVI GANDHI I,English,GP104,1,54,D
20,DANALAKSHMIDEVI GANDHI I,Database,CS105,1,53,D
21,DEVA KIRUBAKARAN A,Mathematics,MATH101,1,71,B
21,DEVA KIRUBAKARAN A,Python,PY102,1,30,F
21,DEVA KIRUBAKARAN A,Python,PY102,2,35,E
21,DEVA KIRUBAKARAN A,Machine Learning,ML103,1,62,C
21,DEVA KIRUBAKARAN A,English,GP104,1,92,S
21,DEVA KIRUBAKARAN A,Database,CS105,1,42,E
22,DHANUSSREE B,Mathematics,MATH101,1,34,F
22,DHANUSSREE B,Mathematics,MATH101,2,47,D
22,DHANUSSREE B,Python,PY102,1,100,S
22,DHANUSSREE B,Machine Learning,ML103,1,53,D
22,DHANUSSREE B,English,GP104,1,55,C
22,DHANUSSREE B,Database,CS105,1,40,E
23,DHAYANIDHI K,Mathematics,MATH101,1,84,A
23,DHAYANIDHI K,Python,PY102,1,88,S
23,DHAYANIDHI K,Machine Learning,ML103,1,80,A
23,DHAYANIDHI K,English,GP104,1,66,B
23,DHAYANIDHI K,Database,CS105,1,73,B
24,DHINESHKUMAR G,Mathematics,MATH101,1,75,A
24,DHINESHKUMAR G,Python,PY102,1,69,B
24,DHINESHKUMAR G,Machine Learning,ML103,1,39,E
24,DHINESHKUMAR G,English,GP104,1,69,B
24,DHINESHKUMAR G,Database,CS105,1,100,S
25,DINESH KARTHIK R,Mathematics,MATH101,1,38,E
25,DINESH KARTHIK R,Python,PY102,1,81,A
25,DINESH KARTHIK R,Machine Learning,ML103,1,49,D
25,DINESH KARTHIK R,English,GP104,1,95,S
